component,n_samples,tau_int_steps,tau_int_time,ess,geyer_ips_cutoff_lag,ljung_box_q_10,ljung_box_p_10,ljung_box_q_25,ljung_box_p_25,ljung_box_q_50,ljung_box_p_50,ljung_box_q_100,ljung_box_p_100
28,14501,11.631518018224037,0.11631518018224038,1246.6988382152797,17,49094.08442657232,0.0,49524.24031156501,0.0,50046.69645808511,0.0,50419.8039070568,0.0
29,14501,13.592704573486891,0.1359270457348689,1066.8222737868352,53,52799.8880630274,0.0,53279.458516142375,0.0,53392.64309502311,0.0,53512.455262746684,0.0
30,14501,11.43886972615137,0.11438869726151371,1267.6951785584229,15,50040.075332366745,0.0,50213.35287651924,0.0,50323.64252032355,0.0,50548.667297671665,0.0
31,14501,11.425215191263874,0.11425215191263874,1269.2102299384244,15,50625.16454378117,0.0,50796.86057460839,0.0,51043.77361583425,0.0,51562.69202109206,0.0
32,14501,12.167255927562131,0.12167255927562132,1191.8052917051991,19,52483.57256727805,0.0,52815.13510709524,0.0,53162.461344940806,0.0,53337.41227802272,0.0
33,14501,12.491550330062543,0.12491550330062542,1160.8647138939555,25,52456.04448797954,0.0,52763.8867292352,0.0,53460.117668882005,0.0,53959.72954285693,0.0
34,14501,12.021600999056838,0.12021600999056839,1206.245324656648,17,51284.64186330878,0.0,51787.25368380098,0.0,52665.85763822864,0.0,53092.16983121488,0.0
35,14501,13.134468370231481,0.1313446837023148,1104.0416400001147,25,53293.6055215575,0.0,54036.31003238648,0.0,54401.895959928064,0.0,55657.719240510305,0.0
36,14501,12.113766194516405,0.12113766194516405,1197.0678455527923,15,53128.22968661324,0.0,53382.33112809735,0.0,53936.47210346234,0.0,54501.79645437761,0.0
37,14501,11.67447653451489,0.1167447653451489,1242.1113663750716,15,51002.72167798093,0.0,51429.66887452772,0.0,51716.73669051385,0.0,51886.68568476113,0.0
38,14501,12.100174620054544,0.12100174620054543,1198.412457285235,19,51708.1512693259,0.0,52028.21595231615,0.0,52432.19641077523,0.0,53373.946582213,0.0
39,14501,12.546657307895718,0.12546657307895717,1155.766005569818,21,52120.42807280303,0.0,52604.54031637961,0.0,52975.95760609482,0.0,53125.61856389815,0.0
